"paper","year","doi","species","hedgesg","lower95","upper95","ruralmean","ruralsd","ruralse","ruralss","urbanmean","urbansd","urbanse","urbanss","measurement","pval","fval","location","collection_period","relativeby","notes","legend","first_collection","length_of_collection","SE","var","label"
"DePasquale et al",2020,"doi.org/10.1093/jmammal/gyaa121","blarina_brevicuada",0.07280428,-0.8320199,0.9776284,13.46,1.2,0.4,9,13.96,8.473,2.35,13,"relative_mean_cranial_volume",0.54,0.39,"east","1939-1988","skulllength","This paper used imaging to calculate much more precise cranial volume","Blarina brevicuada",1939,49,0.461644974489796,0.213116082471684,"DePasquale et al, 2020"
"DePasquale et al",2020,"doi.org/10.1093/jmammal/gyaa122","eptesicus_fuscus",-0.7894566,-1.7388413,0.1599281,16.53,4.269,1.35,10,13.17,3.914,1.18,11,"relative_mean_cranial_volume",0.001,36.53,"east","1935-2014","skulllength","","Eptesicus fuscus",1935,79,0.484379948979592,0.234623934973472,"DePasquale et al, 2020"
"DePasquale et al",2020,"doi.org/10.1093/jmammal/gyaa123","microtus_pennsylvanicus",1.019698,0.1723903,1.8670051,14.12,3.603,1.04,12,26.09,14.87,3.84,15,"relative_mean_cranial_volume",0.001,109.1,"east","1899-2013","skulllength","","Microtus pennsylvanicus",1899,114,0.432299693877551,0.186883025326624,"DePasquale et al, 2020"
"DePasquale et al",2020,"doi.org/10.1093/jmammal/gyaa124","peromyscus_leucopus",0.4911571,-0.2311542,1.2134684,15.84,2.356,0.68,12,25.88,24.1,4.82,25,"relative_mean_cranial_volume",0.001,50.73,"east","1899-1989","skulllength","","Peromyscus leucopus",1899,90,0.368526173469388,0.135811540531989,"DePasquale et al, 2020"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1384","blarina_brevicuada",-0.2521638,-0.7988234,0.2944958,0.08507,0.006924,NA,20,0.08684,0.007122,NA,17,"relative_mean_cranial_volume",NA,NA,"plains","1912-2005","bodylength","I had to calculate relative cc myself from lxwxh cranial measurements and body length","Blarina brevicuada",1912,93,0.278907959183673,0.0777896496960016,"Snell-Rood & Wick, 2013"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1385","clethrionomys_gapperi",-0.2851615,-0.9817388,0.4114157,0.08002,0.009231,NA,22,0.08268,0.008975,NA,17,"relative_mean_cranial_volume",NA,NA,"plains","1929-2005","bodylength","","Clethrionomys gapperi",1929,76,0.355396556122449,0.126306712103697,"Snell-Rood & Wick, 2013"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1386","eptesicus_fuscus",-0.1204133,-0.9271413,0.6863146,0.0428,0.003396,NA,11,0.04324,0.003497,NA,14,"relative_mean_cranial_volume",NA,NA,"plains","1937-1995","bodylength","","Eptesicus fuscus",1937,58,0.411595892857143,0.169411179016869,"Snell-Rood & Wick, 2013"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1387","geomys_bursarius",-0.2455512,-0.952048,0.4609456,0.2018,0.02109,NA,16,0.207,0.01985,NA,16,"relative_mean_cranial_volume",NA,NA,"plains","1916-2001","bodylength","","Geomys bursarius",1916,85,0.360457551020408,0.12992964608763,"Snell-Rood & Wick, 2013"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1388","myotis_lucifugus",-0.7399933,-1.5215384,0.04155181,0.03891,0.003666,NA,15,0.04214,0.004802,NA,13,"relative_mean_cranial_volume",NA,NA,"plains","1916-2004","bodylength","","Myotis lucifugus",1916,88,0.39874750255102,0.158999570790676,"Snell-Rood & Wick, 2013"
"Snell-Rood & Wick",2013,"https://doi.org/10.1098/rspb.2013.1389","microtus_pennsylvanicus",-0.4408185,-1.1111759,0.2295388,0.08905,0.009089,NA,18,0.09311,0.008904,NA,18,"relative_mean_cranial_volume",NA,NA,"plains","1911-2005","bodylength","","Microtus pennsylvanicus",1911,94,0.342019056122449,0.116977034750891,"Snell-Rood & Wick, 2013"
