Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
16517,F,SORICIDAE,BLARINA BREVICAUDA,LAC QUI PARLE,1991,0,12.43,7.39,12.66,1162.918482,1.162918482,134,13.4,0.086784961,30,16
16518,M,SORICIDAE,BLARINA BREVICAUDA,LAC QUI PARLE,1991,0,12.04,7.39,13.35,1187.82426,1.18782426,135,13.5,0.087986982,29,17
16688,M,SORICIDAE,BLARINA BREVICAUDA,CHIS0O,1987,0,11.77,6.76,12.92,1027.982384,1.027982384,131,13.1,0.078471938,26,18
17925,F,SORICIDAE,BLARINA BREVICAUDA,POLK,1998,0,12.38,7.18,13.03,1158.215852,1.158215852,127,12.7,0.091198099,24,15
17927,M,SORICIDAE,BLARINA BREVICAUDA,POPE,1998,0,11.63,7.07,13.32,1095.225012,1.095225012,130,13,0.084248078,26,15
18278,M,SORICIDAE,BLARINA BREVICAUDA,HENNEPIN,1997,1,12.17,7.07,13.78,1185.657382,1.185657382,132,13.2,0.089822529,22,17
18318,F,SORICIDAE,BLARINA BREVICAUDA,HUBBARD,1999,0,11.28,6.64,12.21,914.519232,0.914519232,104,10.4,0.087934542,19,14
19012,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,CARLTON,2004,0,11.88,6.64,12.85,1013.64912,1.01364912,110,11,0.09214992,26,21
19013,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,CARLTON,2005,0,12.11,7.11,13.44,1157.212224,1.157212224,116,11.6,0.099759674,26,16
19088,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,CARLTON,2005,0,12.36,7.11,12.89,1132.768044,1.132768044,118,11.8,0.095997292,25,17
19089,UNKNOWN,SORICIDAE,BLARINA BREVICAUDA,CARLTON,2005,0,12.06,7.3,12.49,1099.59462,1.09959462,109,10.9,0.10088024,18,15
744,F,MURIDAE,CLETHRIONOMYS GAPPERI,MARSHALL,1929,0,11.77,6.92,10.64,866.610976,0.866610976,138,13.8,0.062797897,40,18
746,M,MURIDAE,CLETHRIONOMYS GAPPERI,KITTSON,1929,0,12.61,7.58,11.27,1077.229426,1.077229426,142,14.2,0.075861227,39,19
1582,M,MURIDAE,CLETHRIONOMYS GAPPERI,CLEARWATER,1938,0,12.66,7.37,11.23,1047.806166,1.047806166,126,12.6,0.08315922,35,16
2449,F,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1947,1,12.73,8.23,11.17,1170.257443,1.170257443,119,11.9,0.098340962,30,18
2453,F,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1947,1,11.87,6.99,10.56,876.176928,0.876176928,96,9.6,0.09126843,26,16
2492,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1948,1,12.23,7.3,10.86,969.56994,0.96956994,125,12.5,0.077565595,34,18
2604,M,MURIDAE,CLETHRIONOMYS GAPPERI,ISANTI,1948,0,12.03,7.64,10.8,992.61936,0.99261936,116,11.6,0.085570634,30,17
2754,F,MURIDAE,CLETHRIONOMYS GAPPERI,CLEARWATER,1949,0,12.6,7.64,11.33,1090.67112,1.09067112,149,14.9,0.073199404,40,18
2910,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1950,1,11.65,7.56,10.69,941.51106,0.94151106,111,11.1,0.084820816,30,18
3208,M,MURIDAE,CLETHRIONOMYS GAPPERI,MORRISON,1951,0,12.84,8.04,11.61,1198.542096,1.198542096,121,12.1,0.099053066,35,19
3335,F,MURIDAE,CLETHRIONOMYS GAPPERI,HENNEPIN,1952,1,12.01,7.98,11.19,1072.447362,1.072447362,131,13.1,0.081866211,37,12
4005,F,MURIDAE,CLETHRIONOMYS GAPPERI,CLEARWATER,1957,0,11.98,7.22,10.94,946.261864,0.946261864,134,13.4,0.070616557,32,16
4403,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1933,1,12.78,7.62,11.52,1121.859072,1.121859072,124,12.4,0.090472506,33,18
4435,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1932,1,12.21,7.5,10.04,919.413,0.919413,127,12.7,0.072394724,35,16
5076,F,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1958,1,11.86,7.28,11.33,978.241264,0.978241264,116,11.6,0.084331143,27,17
5580,F,MURIDAE,CLETHRIONOMYS GAPPERI,RAMSEY,1960,1,12.19,7.47,10.96,998.009928,0.998009928,134,13.4,0.074478353,36,17
8668,F,MURIDAE,CLETHRIONOMYS GAPPERI,AITKIN,1967,0,12.32,7.26,11.04,987.452928,0.987452928,122,12.2,0.080938765,31,17
9001,M,MURIDAE,CLETHRIONOMYS GAPPERI,MARSHALL,1968,0,12.41,7.24,10.3,925.43852,0.92543852,111,11.1,0.08337284,30,17
9013,M,MURIDAE,CLETHRIONOMYS GAPPERI,RAMSEY,1968,1,12.39,7.1,11.02,969.41838,0.96941838,140,14,0.06924417,39,17
9014,F,MURIDAE,CLETHRIONOMYS GAPPERI,RAMSEY,1968,1,12.3,7.72,11.22,1065.40632,1.06540632,143,14.3,0.074503938,37,17
13214,F,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1975,1,11.64,6.84,11.05,879.77448,0.87977448,117,11.7,0.0751944,31,18
13215,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1974,1,12.52,7.64,10.99,1051.224272,1.051224272,132,13.2,0.079638202,37,19
14333,F,MURIDAE,CLETHRIONOMYS GAPPERI,PINE,1980,0,12.3,7.27,11.63,1039.96623,1.03996623,130,13,0.079997402,36,19
14457,M,MURIDAE,CLETHRIONOMYS GAPPERI,ANOKA,1979,1,13.05,7.52,11.14,1093.23504,1.09323504,119,11.9,0.091868491,27,17
14464,F,MURIDAE,CLETHRIONOMYS GAPPERI,MAHNOMEN,1979,0,11.56,7.14,10.48,865.002432,0.865002432,129,12.9,0.067054452,37,16
14473,M,MURIDAE,CLETHRIONOMYS GAPPERI,WRIGHT,1979,0,12.19,7.56,10.9,1004.50476,1.00450476,120,12,0.08370873,30,17
15548,M,MURIDAE,CLETHRIONOMYS GAPPERI,WASHINGTON,1988,1,12.77,7.19,10.69,981.516247,0.981516247,133,13.3,0.073798214,32,17
15551,M,MURIDAE,CLETHRIONOMYS GAPPERI,WASHINGTON,1988,1,12.25,7.82,10.9,1044.1655,1.0441655,116,11.6,0.090014267,30,17
15558,F,MURIDAE,CLETHRIONOMYS GAPPERI,WASHINGTON,1988,1,13.25,7.97,11.34,1197.53235,1.19753235,125,12.5,0.095802588,28,18
